STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws
Tennessee,2017,4,1,4,0,0,3,3,0,0,0,7,0,0,0,22
Texas,2017,0,1,1,0,0,3,4,0,4,0,5,0,0,0,18
Utah,2017,0,0,3,0,0,2,3,0,0,2,3,0,0,0,13
Vermont,2017,1,0,0,0,0,0,0,0,0,0,3,0,1,1,6
Virginia,2017,0,0,4,0,0,1,4,0,0,2,1,0,1,0,13
Washington,2017,7,3,4,11,1,4,5,0,0,0,7,0,1,0,43
West Virginia,2017,1,2,6,0,2,0,0,0,0,0,7,0,0,0,18
Wisconsin,2017,0,1,5,0,0,2,5,0,2,0,6,0,1,1,23
Wyoming,2017,0,0,1,0,0,3,0,0,0,0,0,0,1,1,6
Alabama,2018,1,0,3,0,0,0,4,0,0,0,2,0,0,0,10
Alaska,2018,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
Arizona,2018,0,0,4,0,0,1,0,0,0,0,3,0,0,0,8
Arkansas,2018,0,0,3,0,0,2,5,0,0,0,0,0,1,0,11
California,2018,14,12,8,11,5,8,6,8,9,6,18,2,1,1,109
Colorado,2018,2,0,1,9,0,2,5,1,0,2,7,0,1,0,30
Connecticut,2018,12,8,9,10,5,7,4,7,5,2,16,3,1,1,90
Delaware,2018,5,2,6,9,1,3,4,0,4,2,5,0,1,0,42
Florida,2018,2,6,2,1,1,9,3,0,3,2,1,0,0,0,30
Georgia,2018,0,0,1,0,0,1,4,0,0,0,0,0,0,0,6
Hawaii,2018,8,15,10,6,1,5,6,0,5,0,18,3,1,1,79
Idaho,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Illinois,2018,5,6,7,9,3,6,5,0,3,2,16,1,1,1,65
Indiana,2018,1,0,0,0,0,3,4,0,0,1,3,0,0,0,12
Iowa,2018,0,4,1,3,2,2,5,0,2,0,4,0,0,1,24
Kansas,2018,0,0,4,0,0,0,0,0,0,0,3,0,0,0,7
Kentucky,2018,0,0,1,0,0,1,5,0,0,0,0,0,0,0,7
Louisiana,2018,0,1,1,0,0,3,5,0,0,0,9,0,0,0,19
Maine,2018,2,0,4,0,0,1,0,0,0,0,3,0,1,0,11
Maryland,2018,7,9,7,6,3,5,5,5,7,2,11,0,1,1,69
Massachusetts,2018,14,10,8,7,6,11,5,4,11,5,17,3,1,1,103
Michigan,2018,6,3,1,3,0,2,5,0,1,0,0,0,0,0,21
Minnesota,2018,2,1,6,0,0,3,5,0,6,2,14,0,1,1,41
Mississippi,2018,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
Missouri,2018,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Montana,2018,0,0,0,0,0,1,2,0,0,0,1,0,0,0,4
Nebraska,2018,0,3,1,2,0,3,5,0,0,1,3,2,1,1,22
Nevada,2018,0,0,5,6,1,2,5,0,0,0,2,0,0,0,21
New Hampshire,2018,1,0,0,0,0,0,0,0,3,0,5,0,0,0,9
New Jersey,2018,8,10,4,7,2,7,7,6,6,1,15,3,1,1,78
New Mexico,2018,0,0,1,0,0,3,4,0,0,0,0,0,1,1,10
New York,2018,5,7,7,8,2,6,6,8,2,2,16,3,1,1,74
North Carolina,2018,1,2,1,4,0,3,5,0,4,0,10,0,0,0,30
North Dakota,2018,0,0,5,0,0,2,0,0,0,2,0,0,1,0,10
Ohio,2018,0,3,3,0,0,1,5,0,0,2,1,0,1,0,16
Oklahoma,2018,0,1,1,0,0,2,4,0,0,0,1,0,0,0,9
Oregon,2018,9,2,5,10,0,3,4,0,0,0,3,0,1,1,38
Pennsylvania,2018,10,3,5,6,0,1,5,0,1,1,5,0,0,0,37
Rhode Island,2018,8,9,3,9,2,4,3,0,4,0,10,0,1,1,54
South Carolina,2018,0,0,3,0,0,5,4,0,0,0,0,0,0,0,12
South Dakota,2018,0,0,1,0,0,0,4,0,0,0,1,0,0,0,6
Tennessee,2018,4,1,4,0,0,3,3,0,0,0,7,0,0,0,22
