case,date,year,month,city,state,fatalities,injured,total_victims,location_catg,type,age_of_shooter,race,latitude,longitude,STATE,YEAR,dealer_regulations,buyer_regulations,gun_posses_prohibitions,background_checks,ammunition_regulations,possession_regulations,concealed_carry_permits,assault_weapons_bans,child_access_prevention,gun_trafficking,domestic_violence,no_preemption,no_stand_your_ground,immunity,total_laws,Year,State,Total Population,Poverty,Median Age,Unemployed Civilians,Median Household Income,Per Capita Income,% in Poverty,% in Unemployed
Rite Aid warehouse shooting,2018-09-20,2018,September,Perryman,Maryland,3,3,6,Workplace,Mass,26.0,Black,39.455658,-76.208485,Maryland,2018.0,7.0,9.0,7.0,6.0,3.0,5.0,5.0,5.0,7.0,2.0,11.0,0.0,1.0,1.0,69.0,2018.0,Maryland,6003435.0,553496.0,38.6,181089.0,81868.0,40517.0,9.22,3.02
T&T Trucking shooting,2018-09-12,2018,September,Bakersfield,California,5,0,5,Workplace,Spree,54.0,Latino,35.349388,-118.916335,California,2018.0,14.0,12.0,8.0,11.0,5.0,8.0,6.0,8.0,9.0,6.0,18.0,2.0,1.0,1.0,109.0,2018.0,California,39148760.0,5487141.0,36.3,1321502.0,71228.0,35021.0,14.02,3.38
Fifth Third Center shooting,2018-09-06,2018,September,Cincinnati,Ohio,3,2,5,Workplace,Mass,29.0,Latino,39.101981,-84.511782,Ohio,2018.0,0.0,3.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,16.0,2018.0,Ohio,11641879.0,1645986.0,39.3,343232.0,54533.0,30304.0,14.14,2.95
Capital Gazette shooting,2018-06-28,2018,June,Annapolis,Maryland,5,2,7,Workplace,Mass,38.0,White,38.994548,-76.543657,Maryland,2018.0,7.0,9.0,7.0,6.0,3.0,5.0,5.0,5.0,7.0,2.0,11.0,0.0,1.0,1.0,69.0,2018.0,Maryland,6003435.0,553496.0,38.6,181089.0,81868.0,40517.0,9.22,3.02
Santa Fe High School shooting,2018-05-18,2018,May,Santa Fe,Texas,10,13,23,School,Mass,17.0,White,29.392825,-95.141972,Texas,2018.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,18.0,2018.0,Texas,27885195.0,4213938.0,34.4,743006.0,59570.0,30143.0,15.11,2.66
Waffle House shooting,2018-04-22,2018,April,Nashville,Tennessee,4,4,8,Other,Mass,29.0,White,36.052521,-86.61694399999998,Tennessee,2018.0,4.0,1.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,22.0,2018.0,Tennessee,6651089.0,1046508.0,38.7,191544.0,50972.0,28511.0,15.73,2.88
Yountville veterans home shooting,2018-03-09,2018,March,Yountville,California,3,0,3,Workplace,Mass,36.0,Asian,38.392496,-122.366528,California,2018.0,14.0,12.0,8.0,11.0,5.0,8.0,6.0,8.0,9.0,6.0,18.0,2.0,1.0,1.0,109.0,2018.0,California,39148760.0,5487141.0,36.3,1321502.0,71228.0,35021.0,14.02,3.38
Marjory Stoneman Douglas High School shooting,2018-02-14,2018,February,Parkland,Florida,17,17,34,School,Mass,19.0,White,26.30483,-80.269511,Florida,2018.0,2.0,6.0,2.0,1.0,1.0,9.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,30.0,2018.0,Florida,20598139.0,2983851.0,41.9,622978.0,53267.0,30197.0,14.49,3.02
Pennsylvania carwash shooting,2018-01-28,2018,January,Melcroft,Pennsylvania,4,1,5,Other,Mass,28.0,White,40.052151,-79.389166,Pennsylvania,2018.0,10.0,3.0,5.0,6.0,0.0,1.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,37.0,2018.0,Pennsylvania,12791181.0,1578949.0,40.7,379765.0,59445.0,32889.0,12.34,2.97
Rancho Tehama shooting spree,2017-11-14,2017,November,Rancho Tehama,California,5,10,15,Other,Spree,44.0,White,40.018759,-122.393089,California,2017.0,14.0,12.0,7.0,11.0,4.0,7.0,6.0,8.0,9.0,6.0,18.0,2.0,1.0,1.0,106.0,2017.0,California,38982847.0,5773408.0,36.1,1491146.0,67169.0,33128.0,14.81,3.83
